number,diameter,height,double height,weight
203418,255.5,47.9,95.8,4.9
203419,240.9,48.0,96.0,4.53
203420,280.0,47.3,94.6,6.85
203421,280.0,47.4,94.8,7.08
203422,300.0,47.2,94.4,8.47
203423,280.0,47.3,94.6,7.06
203424,262.0,61.2,122.4,4.18
203425,284.0,54.3,108.6,4.47
203426,258.0,45.4,90.8,4.12
203427,315.0,86.4,172.8,8.35
203428,233.9,50.8,101.6,3.67
203429,277.0,45.2,90.4,5.97
203430,262.0,63.8,127.6,4.4
203431,321.0,49.1,98.2,10.2
203432,301.9,71.5,143.0,6.47
203433,300.0,47.4,94.8,8.02
203435,274.1,44.3,88.6,6.42
203436,300.0,52.5,105.0,9.75
203437,324.0,82.6,165.2,7.51
